Ligand	ECMp	Barcode	Cells_CP_Intensity_IntegratedIntensity_MitoTrackerLog2RUVLoess_SE	Cells_CP_Intensity_MedianIntensity_MitoTrackerLog2RUVLoess_SE	Cytoplasm_CP_Intensity_IntegratedIntensity_MitoTrackerLog2RUVLoess_SE	Cytoplasm_CP_Intensity_MedianIntensity_MitoTrackerLog2RUVLoess_SE	Spot_PA_SpotCellCountLog2RUVLoess_SE	Nuclei_PA_Cycle_DNA2NProportionLogitRUVLoess_SE	Spot_PA_SpotCellCount_SE	Well	MEP	CellLine	LigandSet	Ligand1	Ligand2	ECMSet	ECM1	ECM2	ECM3	EndpointDAPI	Endpoint488	Endpoint555	Endpoint647	CellLineAn	Ligand1An	Ligand2An	ECM1An	ECM2An	ECM3An	CellLineLx	Ligand1Lx	Ligand2Lx	ECM1Lx	ECM2Lx	ECM3Lx	395nmLx	488nmLx	555nmLx	640nmLx	750nmLx	Well_Ligand	PinDiameter	Cells_CP_AreaShape_AreaLog2RUVLoess	Cells_CP_AreaShape_CompactnessLog2RUVLoess	Cells_CP_AreaShape_ExtentLog2RUVLoess	Cells_CP_AreaShape_FormFactorLog2RUVLoess	Cells_CP_AreaShape_MajorAxisLengthLog2RUVLoess	Cells_CP_AreaShape_MaxFeretDiameterLog2RUVLoess	Cells_CP_AreaShape_MaximumRadiusLog2RUVLoess	Cells_CP_AreaShape_MeanRadiusLog2RUVLoess	Cells_CP_AreaShape_MedianRadiusLog2RUVLoess	Cells_CP_AreaShape_MinFeretDiameterLog2RUVLoess	Cells_CP_AreaShape_MinorAxisLengthLog2RUVLoess	Cells_CP_AreaShape_PerimeterLog2RUVLoess	Cells_CP_AreaShape_SolidityLog2RUVLoess	Cytoplasm_CP_AreaShape_AreaLog2RUVLoess	Cytoplasm_CP_AreaShape_CompactnessLog2RUVLoess	Cytoplasm_CP_AreaShape_ExtentLog2RUVLoess	Cytoplasm_CP_AreaShape_FormFactorLog2RUVLoess	Cytoplasm_CP_AreaShape_MajorAxisLengthLog2RUVLoess	Cytoplasm_CP_AreaShape_MaxFeretDiameterLog2RUVLoess	Cytoplasm_CP_AreaShape_MaximumRadiusLog2RUVLoess	Cytoplasm_CP_AreaShape_MeanRadiusLog2RUVLoess	Cytoplasm_CP_AreaShape_MedianRadiusLog2RUVLoess	Cytoplasm_CP_AreaShape_MinFeretDiameterLog2RUVLoess	Cytoplasm_CP_AreaShape_MinorAxisLengthLog2RUVLoess	Cytoplasm_CP_AreaShape_PerimeterLog2RUVLoess	Cytoplasm_CP_AreaShape_SolidityLog2RUVLoess	Nuclei_CP_AreaShape_AreaLog2RUVLoess	Nuclei_CP_AreaShape_CompactnessLog2RUVLoess	Nuclei_CP_AreaShape_ExtentLog2RUVLoess	Nuclei_CP_AreaShape_FormFactorLog2RUVLoess	Nuclei_CP_AreaShape_MajorAxisLengthLog2RUVLoess	Nuclei_CP_AreaShape_MaxFeretDiameterLog2RUVLoess	Nuclei_CP_AreaShape_MaximumRadiusLog2RUVLoess	Nuclei_CP_AreaShape_MeanRadiusLog2RUVLoess	Nuclei_CP_AreaShape_MedianRadiusLog2RUVLoess	Nuclei_CP_AreaShape_MinFeretDiameterLog2RUVLoess	Nuclei_CP_AreaShape_MinorAxisLengthLog2RUVLoess	Nuclei_CP_AreaShape_PerimeterLog2RUVLoess	Nuclei_CP_AreaShape_SolidityLog2RUVLoess	Cells_CP_Intensity_IntegratedIntensity_ActinLog2RUVLoess	Cells_CP_Intensity_IntegratedIntensity_MitoTrackerLog2RUVLoess	Cells_CP_Intensity_MedianIntensity_ActinLog2RUVLoess	Cells_CP_Intensity_MedianIntensity_MitoTrackerLog2RUVLoess	Cytoplasm_CP_Intensity_IntegratedIntensity_ActinLog2RUVLoess	Cytoplasm_CP_Intensity_IntegratedIntensity_CellMaskLog2RUVLoess	Cytoplasm_CP_Intensity_IntegratedIntensity_DapiLog2RUVLoess	Cytoplasm_CP_Intensity_IntegratedIntensity_MitoTrackerLog2RUVLoess	Cytoplasm_CP_Intensity_MedianIntensity_ActinLog2RUVLoess	Cytoplasm_CP_Intensity_MedianIntensity_CellMaskLog2RUVLoess	Cytoplasm_CP_Intensity_MedianIntensity_DapiLog2RUVLoess	Cytoplasm_CP_Intensity_MedianIntensity_MitoTrackerLog2RUVLoess	Nuclei_CP_Intensity_IntegratedIntensity_DapiLog2RUVLoess	Nuclei_CP_Intensity_MedianIntensity_DapiLog2RUVLoess	Spot_PA_SpotCellCountLog2RUVLoess	Nuclei_PA_Cycle_DNA2NProportionLogitRUVLoess	Nuclei_PA_Cycle_DNA4NProportionLogitRUVLoess	Nuclei_CP_AreaShape_EccentricityLogitRUVLoess	Spot_PA_SpotCellCount	Spot_PA_ReplicateCount	QA_LowReplicateCount
ANGPT1|1	ALCAM|1	LI8X00519	0.09174	0.07429	0.11693	0.07438	0.08839	0.16941	7.700	B01	ALCAM|1_ANGPT1|1	MCF10A	LS1p1s3	ANGPT1|1_Q15389|1	NA	ES1p2s3	ALCAM|1_Q13740|1	COL1_Own	NA	DAPI	phalloidin	CellMask	mitoTracker	human-MCF10A_Own-ATCCOwn_CRL10317_ICBP43	protein-ANGPT1|1_Q15389|1-RnDSystemsOwn_923AN025CF_FHW3713101	NA	protein-ALCAM|1_Q13740|1-RnDSystemsOwn_656AL_CEI0313061	proteinset-COL1_Own-CultrexOwn_344205001_31384J14	NA	LCL-2085	ANGPT1|1_Q15389|1	NA	ALCAM|1_Q13740|1	COL1_Own	NA	not_yet_specified	not_yet_specified	not_yet_specified	not_yet_specified	NA	B01_ANGPT1|1	350	10.037	0.15999	-0.5674	-0.4148	5.437	5.487	3.885	2.481	2.345	4.969	4.987	7.070	-0.0823540	7.913	3.075	-2.780	-4.450	5.761	5.487	1.6652	0.26732	1.917e-02	4.969	5.307	7.952	-2.3235	9.780	0.12259	-0.5480	-0.3452	5.349	5.358	3.807	2.425	2.244	4.857	4.876	6.926	-0.08885	21.00	18.20	10.951	7.910	18.96	20.42	20.41	16.24	11.137	12.40	12.45	7.958	22.71	13.05	7.211	0.975408	-0.9616277	1.1565	146.00	15	FALSE
ANGPT1|1	BCAN|1	LI8X00519	0.12176	0.07736	0.20687	0.07427	0.05999	0.11422	7.964	B01	BCAN|1_ANGPT1|1	MCF10A	LS1p1s3	ANGPT1|1_Q15389|1	NA	ES3p2s3	BCAN|1_Q96GW7|1	COL1_Own	NA	DAPI	phalloidin	CellMask	mitoTracker	human-MCF10A_Own-ATCCOwn_CRL10317_ICBP43	protein-ANGPT1|1_Q15389|1-RnDSystemsOwn_923AN025CF_FHW3713101	NA	protein-BCAN|1_Q96GW7|1-RnDSystemsOwn_4009BC_PUT1214011	proteinset-COL1_Own-CultrexOwn_344205001_31384J14	NA	LCL-2085	ANGPT1|1_Q15389|1	NA	BCAN|1_Q96GW7|1	COL1_Own	NA	not_yet_specified	not_yet_specified	not_yet_specified	not_yet_specified	NA	B01_ANGPT1|1	350	10.048	0.15410	-0.5519	-0.3863	5.537	5.569	3.879	2.491	2.398	4.981	4.984	7.112	-0.0634591	7.927	3.017	-2.695	-4.337	5.801	5.569	1.5681	0.28403	3.556e-03	4.981	5.334	7.959	-2.2066	9.758	0.13304	-0.5260	-0.3258	5.365	5.406	3.791	2.370	2.224	4.825	4.855	6.940	-0.06393	20.94	18.23	10.930	7.982	18.88	20.18	20.44	16.28	11.107	12.45	12.49	8.014	22.62	13.08	7.261	0.889574	-0.9032051	1.1428	151.00	14	FALSE
ANGPT1|1	BGN	LI8X00519	0.12988	0.13011	0.19522	0.12747	0.06085	0.22806	5.416	B01	BGN_ANGPT1|1	MCF10A	LS1p1s3	ANGPT1|1_Q15389|1	NA	ES3p2s3	BGN_P21810	COL1_Own	NA	DAPI	phalloidin	CellMask	mitoTracker	human-MCF10A_Own-ATCCOwn_CRL10317_ICBP43	protein-ANGPT1|1_Q15389|1-RnDSystemsOwn_923AN025CF_FHW3713101	NA	protein-BGN_P21810-RnDSystemsOwn_2667CM_MZI0414031	proteinset-COL1_Own-CultrexOwn_344205001_31384J14	NA	LCL-2085	ANGPT1|1_Q15389|1	NA	BGN_P21810	COL1_Own	NA	not_yet_specified	not_yet_specified	not_yet_specified	not_yet_specified	NA	B01_ANGPT1|1	350	10.122	0.17215	-0.6363	-0.4832	5.528	5.589	3.919	2.518	2.373	5.026	5.023	7.144	-0.1013961	8.114	2.922	-2.707	-4.349	5.830	5.589	1.8301	0.39930	-2.166e-02	5.026	5.348	8.007	-2.1751	9.796	0.12826	-0.5871	-0.4001	5.407	5.402	3.801	2.420	2.247	4.868	4.880	6.977	-0.09248	20.94	18.11	10.966	8.069	19.07	20.34	20.38	16.12	11.106	12.43	12.51	8.025	22.65	13.02	7.262	1.266695	-1.2213458	1.2116	152.00	14	FALSE
ANGPT1|1	CD44|1	LI8X00519	0.07256	0.05734	0.10758	0.05597	0.04908	0.11208	4.191	B01	CD44|1_ANGPT1|1	MCF10A	LS1p1s3	ANGPT1|1_Q15389|1	NA	ES1p2s3	CD44|1_P16070|1	COL1_Own	NA	DAPI	phalloidin	CellMask	mitoTracker	human-MCF10A_Own-ATCCOwn_CRL10317_ICBP43	protein-ANGPT1|1_Q15389|1-RnDSystemsOwn_923AN025CF_FHW3713101	NA	protein-CD44|1_P16070|1-RnDSystemsOwn_3660CD_OPT0313111	proteinset-COL1_Own-CultrexOwn_344205001_31384J14	NA	LCL-2085	ANGPT1|1_Q15389|1	NA	CD44|1_P16070|1	COL1_Own	NA	not_yet_specified	not_yet_specified	not_yet_specified	not_yet_specified	NA	B01_ANGPT1|1	350	10.037	0.15886	-0.5628	-0.4279	5.493	5.527	3.902	2.497	2.363	4.983	4.977	7.081	-0.0921556	7.787	3.131	-2.798	-4.472	5.803	5.527	1.6106	0.24189	-2.365e-04	4.983	5.327	7.955	-2.3227	9.763	0.12214	-0.5237	-0.3391	5.347	5.372	3.817	2.423	2.236	4.878	4.866	6.930	-0.06039	20.91	17.92	10.874	7.709	18.95	20.26	20.28	15.94	11.052	12.43	12.46	7.749	22.54	12.89	7.323	1.116815	-1.2153045	1.1759	156.00	15	FALSE
ANGPT1|1	CDH15	LI8X00519	0.09279	0.07694	0.15373	0.07753	0.06094	0.14212	6.960	B01	CDH15_ANGPT1|1	MCF10A	LS1p1s3	ANGPT1|1_Q15389|1	NA	ES2p2s3	CDH15_P55291	COL1_Own	NA	DAPI	phalloidin	CellMask	mitoTracker	human-MCF10A_Own-ATCCOwn_CRL10317_ICBP43	protein-ANGPT1|1_Q15389|1-RnDSystemsOwn_923AN025CF_FHW3713101	NA	protein-CDH15_P55291-RnDSystemsOwn_4096MC_PZD0413011	proteinset-COL1_Own-CultrexOwn_344205001_31384J14	NA	LCL-2085	ANGPT1|1_Q15389|1	NA	CDH15_P55291	COL1_Own	NA	not_yet_specified	not_yet_specified	not_yet_specified	not_yet_specified	NA	B01_ANGPT1|1	350	10.114	0.14955	-0.5439	-0.3770	5.525	5.574	3.944	2.542	2.355	5.026	5.033	7.144	-0.0465130	7.899	3.036	-2.682	-4.379	5.835	5.574	1.6435	0.29670	4.617e-04	5.026	5.352	7.983	-2.2508	9.791	0.13874	-0.4971	-0.2991	5.378	5.419	3.847	2.458	2.301	4.917	4.925	6.962	-0.04505	20.86	18.13	10.917	8.000	18.83	20.24	20.32	16.09	11.085	12.43	12.49	8.022	22.58	13.04	7.268	1.103431	-1.0412240	1.0821	152.50	14	FALSE
ANGPT1|1	CDH1|1	LI8X00519	0.07407	0.07672	0.08785	0.07306	0.05381	0.20306	4.145	B01	CDH1|1_ANGPT1|1	MCF10A	LS1p1s3	ANGPT1|1_Q15389|1	NA	ES1p2s3	CDH1|1_P12830|1	COL1_Own	NA	DAPI	phalloidin	CellMask	mitoTracker	human-MCF10A_Own-ATCCOwn_CRL10317_ICBP43	protein-ANGPT1|1_Q15389|1-RnDSystemsOwn_923AN025CF_FHW3713101	NA	protein-CDH1|1_P12830|1-RnDSystemsOwn_648EC_BOV1514101	proteinset-COL1_Own-CultrexOwn_344205001_31384J14	NA	LCL-2085	ANGPT1|1_Q15389|1	NA	CDH1|1_P12830|1	COL1_Own	NA	not_yet_specified	not_yet_specified	not_yet_specified	not_yet_specified	NA	B01_ANGPT1|1	350	10.116	0.16912	-0.5623	-0.4199	5.536	5.598	3.917	2.525	2.380	5.021	5.026	7.148	-0.0840354	7.969	3.063	-2.778	-4.487	5.858	5.598	1.6375	0.24258	-2.834e-02	5.021	5.359	8.030	-2.3164	9.899	0.12412	-0.5292	-0.3292	5.416	5.434	3.843	2.439	2.342	4.922	4.902	7.004	-0.06153	20.99	18.12	10.778	7.957	18.97	20.37	20.45	16.12	10.980	12.39	12.58	7.965	22.70	12.94	7.195	1.166443	-1.0519172	1.1014	147.00	15	FALSE
ANGPT1|1	CDH20	LI8X00519	0.11864	0.10232	0.20963	0.10212	0.06885	0.18745	5.345	B01	CDH20_ANGPT1|1	MCF10A	LS1p1s3	ANGPT1|1_Q15389|1	NA	ES1p2s3	CDH20_Q9HBT6	COL1_Own	NA	DAPI	phalloidin	CellMask	mitoTracker	human-MCF10A_Own-ATCCOwn_CRL10317_ICBP43	protein-ANGPT1|1_Q15389|1-RnDSystemsOwn_923AN025CF_FHW3713101	NA	protein-CDH20_Q9HBT6-RnDSystemsOwn_5604CA_SND0209111	proteinset-COL1_Own-CultrexOwn_344205001_31384J14	NA	LCL-2085	ANGPT1|1_Q15389|1	NA	CDH20_Q9HBT6	COL1_Own	NA	not_yet_specified	not_yet_specified	not_yet_specified	not_yet_specified	NA	B01_ANGPT1|1	350	10.057	0.17096	-0.6208	-0.4209	5.499	5.546	3.906	2.501	2.345	4.997	4.995	7.117	-0.0884589	7.826	3.111	-2.815	-4.468	5.817	5.546	1.7223	0.24904	-1.366e-02	4.997	5.350	7.981	-2.3280	9.761	0.13885	-0.5749	-0.3735	5.358	5.416	3.812	2.424	2.339	4.853	4.864	6.928	-0.09354	21.10	18.09	11.081	7.942	18.96	20.31	20.33	15.94	11.236	12.52	12.57	7.962	22.65	13.07	7.392	0.904533	-0.7639561	1.1948	145.00	15	FALSE
ANGPT1|1	CDH3|1	LI8X00519	0.08056	0.06123	0.10348	0.05940	0.05287	0.13131	6.430	B01	CDH3|1_ANGPT1|1	MCF10A	LS1p1s3	ANGPT1|1_Q15389|1	NA	ES3p2s3	CDH3|1_P22223|1	COL1_Own	NA	DAPI	phalloidin	CellMask	mitoTracker	human-MCF10A_Own-ATCCOwn_CRL10317_ICBP43	protein-ANGPT1|1_Q15389|1-RnDSystemsOwn_923AN025CF_FHW3713101	NA	protein-CDH3|1_P22223|1-RnDSystemsOwn_861PC_CFR1413111	proteinset-COL1_Own-CultrexOwn_344205001_31384J14	NA	LCL-2085	ANGPT1|1_Q15389|1	NA	CDH3|1_P22223|1	COL1_Own	NA	not_yet_specified	not_yet_specified	not_yet_specified	not_yet_specified	NA	B01_ANGPT1|1	350	9.992	0.13199	-0.5509	-0.3883	5.426	5.491	3.866	2.470	2.327	4.970	4.955	7.082	-0.0683235	7.843	3.131	-2.829	-4.478	5.760	5.491	1.3387	0.21008	-3.674e-03	4.970	5.317	7.928	-2.3560	9.749	0.10539	-0.5472	-0.3209	5.312	5.362	3.769	2.377	2.280	4.886	4.853	6.909	-0.08011	20.87	18.02	10.775	7.877	18.87	20.19	20.24	15.90	11.013	12.42	12.45	7.840	22.50	13.02	7.336	1.135108	-1.0826116	1.1157	156.00	13	FALSE
ANGPT1|1	CDH6|1	LI8X00519	0.08253	0.05596	0.11273	0.05663	0.06484	0.12799	5.900	B01	CDH6|1_ANGPT1|1	MCF10A	LS1p1s3	ANGPT1|1_Q15389|1	NA	ES1p2s3	CDH6|1_P55285|1	COL1_Own	NA	DAPI	phalloidin	CellMask	mitoTracker	human-MCF10A_Own-ATCCOwn_CRL10317_ICBP43	protein-ANGPT1|1_Q15389|1-RnDSystemsOwn_923AN025CF_FHW3713101	NA	protein-CDH6|1_P55285|1-RnDSystemsOwn_2715CA_NIS1213051	proteinset-COL1_Own-CultrexOwn_344205001_31384J14	NA	LCL-2085	ANGPT1|1_Q15389|1	NA	CDH6|1_P55285|1	COL1_Own	NA	not_yet_specified	not_yet_specified	not_yet_specified	not_yet_specified	NA	B01_ANGPT1|1	350	10.065	0.18152	-0.5797	-0.4074	5.482	5.549	3.895	2.508	2.358	5.007	4.999	7.097	-0.0640617	7.775	3.113	-2.729	-4.438	5.789	5.549	1.3741	0.20937	-2.784e-04	5.007	5.315	8.009	-2.2781	9.719	0.14281	-0.5158	-0.3253	5.374	5.408	3.790	2.404	2.249	4.842	4.848	6.944	-0.06113	21.11	18.41	11.067	8.091	19.08	20.31	20.53	16.26	11.210	12.56	12.55	8.129	22.76	13.17	7.366	0.969964	-0.9335396	1.2718	154.00	15	FALSE
ANGPT1|1	CDH8	LI8X00519	0.10136	0.07278	0.15350	0.07424	0.05346	0.12137	3.921	B01	CDH8_ANGPT1|1	MCF10A	LS1p1s3	ANGPT1|1_Q15389|1	NA	ES1p2s3	CDH8_P55286	COL1_Own	NA	DAPI	phalloidin	CellMask	mitoTracker	human-MCF10A_Own-ATCCOwn_CRL10317_ICBP43	protein-ANGPT1|1_Q15389|1-RnDSystemsOwn_923AN025CF_FHW3713101	NA	protein-CDH8_P55286-RnDSystemsOwn_188C8_DIQ0212091	proteinset-COL1_Own-CultrexOwn_344205001_31384J14	NA	LCL-2085	ANGPT1|1_Q15389|1	NA	CDH8_P55286	COL1_Own	NA	not_yet_specified	not_yet_specified	not_yet_specified	not_yet_specified	NA	B01_ANGPT1|1	350	9.963	0.17990	-0.6111	-0.4132	5.434	5.500	3.840	2.459	2.295	4.976	4.950	7.092	-0.0781732	7.913	3.132	-2.786	-4.451	5.753	5.500	1.5341	0.23810	-1.376e-02	4.976	5.270	7.945	-2.3249	9.712	0.13045	-0.5631	-0.3790	5.294	5.317	3.776	2.382	2.223	4.822	4.841	6.885	-0.07613	21.00	18.10	10.988	8.063	19.07	20.41	20.30	16.00	11.206	12.54	12.56	8.027	22.65	13.08	7.263	0.899144	-0.8331723	1.1624	148.00	15	FALSE
